Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Founder Sets Lofty Goals In IPO Letter,Dow Jones News Service,2/1/2012,711,"Zuckerberg says Facebook could improve the way people connect to businesses, creating a stronger economy --He says the company hopes to change how people relate to their governments and social institutions",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKET TALK: Facebook's $5B IPO? Not Exactly MARKET TALK: Facebook IPO Is A Two-Exchange Race,Dow Jones News Service,2/1/2012,1340,Don't put much stock in Facebook's initial public offering filing saying it plans to raise up to an estimated $5B. Such estimates are typically used as a placeholder and adjusted at least once as a company and its ...,Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know,Dow Jones News Service,2/1/2012,224,"By Stephen Grocer After months -- years, really-- of anticipation from Silicon Valley to Wall Street, it's finally official -- ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: What to Keep an Eye Out For Facebook IPO Filing: What to Look Out For,Dow Jones News Service,2/1/2012,736,"Over at MarketWatch, Dan Gallagher has a walk up to Facebook's IPO filing:",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know,Dow Jones News Service,2/1/2012,354,"By Stephen Grocer After months -- years, really-- of anticipation from Silicon Valley to Wall Street, it's finally official -- ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know,Dow Jones News Service,2/1/2012,666,"By Stephen Grocer After months -- years, really-- of anticipation from Silicon Valley to Wall Street, it's finally official -- ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know Facebook IPO: Everything You Need to Know,Dow Jones News Service,2/1/2012,1049,"By Stephen Grocer After months -- years, really-- of anticipation from Silicon Valley to Wall Street, it's finally official -- ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook to Trigger IPO under the management of Morgan Stanley,ecPulse,2/1/2012,162,"Facebook, the world's largest internet social network, plans to launch an initial public stock offering (IPO) under the management of Morgan Stanley, where the IPO will kick off this week after filing the required documents.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook files for massive IPO,Gannett News Service,2/1/2012,1926,"By Jon Swartz, Scott Martin and Matt Krantz USA TODAY SAN FRANCISCO -- Facebook on Wednesday filed to go public and raise $5 billion in what could be the largest-ever Internet IPO.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook Files for IPO, Looks to Raise $5 Billion",Hollywood Reporter,2/1/2012,434,"NEW YORK - Facebook made things official on Wednesday afternoon, filing the initial prospectus for its much-anticipated IPO. The social networking giant said it is looking to raise $5 billion by going public, but the funds raised could well ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY Times: Facebook poised to file IPO Wednesday,Kansas City Business Journal Online,2/1/2012,107,"Facebook Inc. could file for its much talked about public stock offering as early as Wednesday,  The New York Times reports. The offering is expected to value the company at between $75 and $100 billion.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROAD TO IPO; Will users get a share? Facebook may give small investors a chance to get in on its stock offering,Los Angeles Times,2/1/2012,899,"As Facebook Inc. files for what is likely to be a historic initial public offering of stock, a big question looms for its millions of loyal users.",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 concerns about the Facebook IPO; Commentary: It's going to be a monster É?? but for whom?,MarketWatch,2/1/2012,886,"NEW YORK (MarketWatch) É?? Yes, it's a foregone conclusion that the Facebook initial public offering will be the Super Bowl of stock sales. The publicity is already setting standards in hype.",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is Facebook IPO Google all over again? Commentary: Market conditions are drastically different this time,MarketWatch,2/1/2012,995,"NEW YORK (MarketWatch) É?? In all likelihood, social-networking giant Facebook is going to file for an initial public offering in the very near future, as soon as Wednesday, if Wall Street Journal reports are to be believed.",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
